user_id,date,time_min,value
smcfb.01.028,2023-07-14,15:07:00,89
smcfb.01.028,2023-07-14,15:08:00,90
smcfb.01.028,2023-07-14,15:09:00,90
smcfb.01.028,2023-07-14,15:10:00,91
smcfb.01.028,2023-07-14,15:11:00,89
smcfb.01.028,2023-07-14,15:12:00,87
smcfb.01.028,2023-07-14,15:13:00,87
smcfb.01.028,2023-07-14,15:14:00,87
smcfb.01.028,2023-07-14,15:15:00,87
smcfb.01.028,2023-07-14,15:16:00,88
smcfb.01.028,2023-07-14,15:17:00,91
smcfb.01.028,2023-07-14,15:18:00,89
smcfb.01.028,2023-07-14,15:19:00,88
smcfb.01.028,2023-07-14,15:20:00,88
smcfb.01.028,2023-07-14,15:21:00,90
smcfb.01.028,2023-07-14,15:22:00,88
smcfb.01.028,2023-07-14,15:23:00,88
smcfb.01.028,2023-07-14,15:24:00,87
smcfb.01.028,2023-07-14,15:25:00,86
smcfb.01.028,2023-07-14,15:26:00,90
smcfb.01.028,2023-07-14,15:27:00,89
smcfb.01.028,2023-07-14,15:28:00,90
smcfb.01.028,2023-07-14,15:29:00,89
smcfb.01.028,2023-07-14,15:30:00,92
smcfb.01.028,2023-07-14,15:31:00,93
smcfb.01.028,2023-07-14,15:32:00,88
smcfb.01.028,2023-07-14,15:33:00,88
smcfb.01.028,2023-07-14,15:34:00,87
smcfb.01.028,2023-07-14,15:35:00,87
smcfb.01.028,2023-07-14,15:36:00,85
smcfb.01.028,2023-07-14,15:37:00,86
smcfb.01.028,2023-07-14,15:38:00,85
smcfb.01.028,2023-07-14,15:39:00,85
smcfb.01.028,2023-07-14,15:40:00,86
smcfb.01.028,2023-07-14,15:41:00,86
smcfb.01.028,2023-07-14,15:42:00,86
smcfb.01.028,2023-07-14,15:43:00,87
smcfb.01.028,2023-07-14,15:44:00,87
smcfb.01.028,2023-07-14,15:45:00,85
smcfb.01.028,2023-07-14,15:46:00,85
smcfb.01.028,2023-07-14,15:47:00,84
smcfb.01.028,2023-07-14,15:48:00,85
smcfb.01.028,2023-07-14,15:49:00,84
smcfb.01.028,2023-07-14,15:50:00,84
smcfb.01.028,2023-07-14,15:51:00,84
smcfb.01.028,2023-07-14,15:52:00,86
smcfb.01.028,2023-07-14,15:53:00,88
smcfb.01.028,2023-07-14,15:54:00,92
smcfb.01.028,2023-07-14,15:55:00,93
smcfb.01.028,2023-07-14,15:56:00,94
smcfb.01.028,2023-07-14,15:57:00,94
smcfb.01.028,2023-07-14,15:58:00,92
smcfb.01.028,2023-07-14,15:59:00,90
smcfb.01.028,2023-07-14,16:00:00,89
smcfb.01.028,2023-07-14,16:01:00,88
smcfb.01.028,2023-07-14,16:02:00,89
smcfb.01.028,2023-07-14,16:03:00,90
smcfb.01.028,2023-07-14,16:04:00,90
smcfb.01.028,2023-07-14,16:05:00,89
smcfb.01.028,2023-07-14,16:06:00,88
smcfb.01.028,2023-07-14,16:07:00,88
smcfb.01.028,2023-07-14,16:08:00,86
smcfb.01.028,2023-07-14,16:09:00,86
smcfb.01.028,2023-07-14,16:10:00,87
smcfb.01.028,2023-07-14,16:11:00,86
smcfb.01.028,2023-07-14,16:12:00,85
smcfb.01.028,2023-07-14,16:13:00,85
smcfb.01.028,2023-07-14,16:14:00,85
smcfb.01.028,2023-07-14,16:15:00,85
smcfb.01.028,2023-07-14,16:16:00,86
smcfb.01.028,2023-07-14,16:17:00,85
smcfb.01.028,2023-07-14,16:18:00,91
smcfb.01.028,2023-07-14,16:19:00,91
smcfb.01.028,2023-07-14,16:20:00,88
smcfb.01.028,2023-07-14,16:21:00,87
smcfb.01.028,2023-07-14,16:22:00,86
smcfb.01.028,2023-07-14,16:23:00,86
smcfb.01.028,2023-07-14,16:24:00,85
smcfb.01.028,2023-07-14,16:25:00,85
smcfb.01.028,2023-07-14,16:26:00,85
smcfb.01.028,2023-07-14,16:27:00,87
smcfb.01.028,2023-07-14,16:28:00,86
smcfb.01.028,2023-07-14,16:29:00,85
smcfb.01.028,2023-07-14,16:30:00,85
smcfb.01.028,2023-07-14,16:31:00,87
smcfb.01.028,2023-07-14,16:32:00,88
smcfb.01.028,2023-07-14,16:33:00,90
smcfb.01.028,2023-07-14,16:34:00,86
smcfb.01.028,2023-07-14,16:35:00,85
smcfb.01.028,2023-07-14,16:36:00,85
smcfb.01.028,2023-07-14,16:37:00,85
smcfb.01.028,2023-07-14,16:38:00,86
smcfb.01.028,2023-07-14,16:39:00,87
smcfb.01.028,2023-07-14,16:40:00,88
smcfb.01.028,2023-07-14,16:41:00,87
smcfb.01.028,2023-07-14,16:42:00,89
smcfb.01.028,2023-07-14,16:43:00,91
smcfb.01.028,2023-07-14,16:44:00,94
smcfb.01.028,2023-07-14,16:45:00,93
smcfb.01.028,2023-07-14,16:46:00,95
smcfb.01.028,2023-07-14,16:47:00,94
smcfb.01.028,2023-07-14,16:48:00,94
smcfb.01.028,2023-07-14,16:49:00,95
smcfb.01.028,2023-07-15,-1,-1
smcfb.01.028,2023-07-16,-1,-1
smcfb.01.028,2023-07-17,-1,-1
smcfb.01.028,2023-07-18,-1,-1
smcfb.01.028,2023-07-19,-1,-1
smcfb.01.028,2023-07-21,-1,-1
smcfb.01.028,2023-07-22,-1,-1
smcfb.01.028,2023-07-23,-1,-1
smcfb.01.028,2023-07-24,-1,-1
smcfb.01.028,2023-07-25,-1,-1
smcfb.01.028,2023-07-26,-1,-1
smcfb.01.028,2023-07-27,-1,-1
smcfb.01.028,2023-07-28,-1,-1
smcfb.01.028,2023-07-20,-1,-1
smcfb.01.028,2023-07-29,-1,-1
smcfb.01.028,2023-07-30,-1,-1
smcfb.01.028,2023-07-31,-1,-1
smcfb.01.028,2023-08-01,-1,-1
smcfb.01.028,2023-08-02,-1,-1
smcfb.01.028,2023-08-03,-1,-1
smcfb.01.028,2023-08-04,-1,-1
smcfb.01.028,2023-08-05,-1,-1
smcfb.01.028,2023-08-06,-1,-1
smcfb.01.028,2023-08-07,-1,-1
smcfb.01.028,2023-08-08,-1,-1
smcfb.01.028,2023-08-09,-1,-1
smcfb.01.028,2023-08-10,-1,-1
smcfb.01.028,2023-08-11,-1,-1
smcfb.01.028,2023-08-12,-1,-1
smcfb.01.028,2023-08-13,-1,-1
